s,a
0,	15.153562
1,	16.045288
2,	16.275728
3,	15.723051
4,	14.434710
5,	12.696299
6,	10.798108
7,	8.827621
8,	6.793622
9,	4.689754
10,	2.510838
11,	0.016462
12,	-2.940547
13,	-6.242177
14,	-9.474684
15,	-12.123596
16,	-14.158689
17,	-15.750916
18,	-16.779999
19,	-17.020374
20,	-16.159595
21,	-13.943263
22,	-10.473467
23,	-5.764855
24,	0.214156
25,	7.729424
26,	17.046915
27,	27.454315
28,	38.047184
29,	47.966900
30,	56.969421
31,	65.246437
32,	72.314232
33,	78.037865
34,	82.411545
35,	85.812996
36,	88.838326
37,	91.928528
38,	95.382179
39,	99.414886
40,	104.148567
41,	109.543304
42,	115.689140
43,	122.762901
44,	130.929398
45,	139.740921
46,	148.319794
47,	155.906921
48,	162.619202
49,	168.625381
50,	174.084625
51,	178.995361
52,	-176.613678
53,	-172.421997
54,	-168.173019
55,	-163.712860
56,	-159.040466
57,	-154.446060
58,	-149.938766
59,	-145.420486
60,	-141.295227
61,	-138.075058
62,	-136.183060
63,	-135.423126
64,	-135.332382
65,	-135.854843
66,	-136.688477
67,	-137.650436
68,	-138.544327
69,	-138.886993
70,	-138.456619
71,	-137.215424
72,	-135.372284
73,	-133.059860
74,	-129.945618
75,	-125.924919
