s,a
0,	14.962459
1,	12.820779
2,	10.655864
3,	8.234674
4,	5.558152
5,	2.705511
6,	-0.175676
7,	-3.071641
8,	-5.968889
9,	-8.804565
10, 	-11.552876
11, 	-14.229474
12, 	-17.081121
13, 	-19.754206
14, 	-21.331642
15, 	-21.735844
16, 	-21.124537
17, 	-20.147247
18, 	-18.842119
19, 	-16.198685
20, 	-11.997758
21, 	-6.373721
22, 	0.125423
23, 	7.489676
24, 	15.963435
25, 	24.881788
26, 	33.144279
27, 	40.205959
28, 	46.109669
29, 	50.714718
30, 	54.136688
31, 	56.605515
32, 	58.265968
33, 	58.855999
34, 	58.647316
35, 	58.256355
36, 	58.063457
37, 	57.940453
38, 	57.787586
39, 	57.483219
40, 	56.729000
41, 	55.535175
42, 	54.024143
43, 	52.487461
44, 	50.778557
45, 	48.374065
46, 	45.839401
47, 	43.800568
48, 	42.300621
49, 	41.138084
50, 	39.705505
51, 	38.793491
52, 	39.595703
53, 	42.266258
54, 	46.601471
55, 	52.320549
56, 	58.847763
57, 	65.414169
58, 	70.925835
59, 	74.762733
60, 	77.407799
61, 	79.192253
62, 	80.208725
63, 	80.473022
64, 	79.817383
65, 	78.229980
66, 	75.038910
67, 	70.196228
68, 	65.187370
69, 	61.206310
70, 	58.982632
71, 	58.406265
72, 	59.047031
73, 	60.743980
74, 	62.551193
75, 	63.833221
