s,a
0	,12.790895
1	,10.375463
2	,8.344381
3	,6.767570
4	,5.482043
5	,4.140551
6	,2.455954
7	,0.334266
8	,-2.228124
9	,-5.198991
10	,-8.478177
11	,-11.802298
12	,-14.979658
13	,-18.115219
14	,-21.216852
15	,-23.837894
16	,-24.931559
17	,-23.417582
18	,-19.111006
19	,-12.240312
20	,-3.116682
21	,7.603876
22	,19.032249
23	,29.935308
24	,39.349758
25	,47.019730
26	,53.063816
27	,57.529186
28	,60.054699
29	,60.472404
30	,58.789993
31	,55.079769
32	,49.463333
33	,42.623428
34	,35.635216
35	,29.082245
36	,22.952818
37	,17.564054
38	,13.437405
39	,10.553019
40	,8.849079
41	,8.299078
42	,8.790331
43	,9.669342
44	,9.703820
45	,7.627080
46	,3.283225
47	,-2.364267
48	,-8.162622
49	,-13.972673
50	,-19.774639
51	,-25.492672
52	,-30.518385
53	,-33.857491
54	,-35.289089
55	,-35.158485
56	,-33.958633
57	,-31.422379
58	,-27.047831
59	,-21.561295
60	,-16.120821
61	,-11.493165
62	,-7.801508
63	,-5.718646
64	,-6.863136
65	,-11.935334
66	,-19.498560
67	,-27.860012
68	,-36.148201
69	,-43.763638
70	,-49.791740
71	,-53.908482
72	,-56.802158
73	,-58.544357
74	,-57.990410
75	,-54.118851
