s,a
0,	26.227404
1,	26.316925
2,	26.653044
3,	27.227434
4,	28.090050
5,	29.455311
6,	31.058083
7,	32.652733
8,	34.317200
9,	36.351048
10,	39.196384
11,	42.688942
12,	46.207382
13,	49.765633
14,	53.146923
15,	56.401848
16,	59.690628
17,	63.093765
18,	66.787262
19,	70.713020
20,	74.718246
21,	78.633492
22,	82.178329
23,	85.096565
24,	87.077248
25,	88.154121
26,	88.661102
27,	88.890419
28,	89.283775
29,	90.121407
30,	91.519287
31,	93.523109
32,	96.134361
33,	99.405472
34,	102.833138
35,	105.941689
36,	108.570320
37,	110.818710
38,	112.862846
39,	114.767273
40,	116.535583
41,	118.094460
42,	119.396667
43,	120.525330
44,	121.437866
45,	122.208939
46,	122.786079
47,	123.152573
48,	123.450386
49,	123.894783
50,	124.635918
51,	125.738457
52,	127.270500
53,	129.543427
54,	132.664886
55,	136.456375
56,	140.586151
57,	144.890381
58,	149.507095
59,	154.386780
60,	159.416473
61,	164.460968
62,	169.588486
63,	174.922211
64,	-179.827621
65,	-174.910507
66,	-170.607864
67,	-166.848511
68,	-163.270981
69,	-159.979813
70,	-157.023514
71,	-154.509064
72,	-152.349487
73,	-150.053040
74,	-147.465729
75,	-144.763504
