s,a
0	,19.542374
1	,19.342316
2	,19.346283
3	,19.790915
4	,20.511433
5	,21.091402
6	,21.119820
7	,20.946041
8	,21.326374
9	,22.553036
10	,24.432714
11	,26.501051
12	,28.499407
13	,30.937567
14	,33.994026
15	,37.266472
16	,39.813206
17	,40.785439
18	,40.870079
19	,41.170563
20	,42.090973
21	,43.331825
22	,44.137161
23	,44.466160
24	,44.605015
25	,44.370121
26	,43.505077
27	,41.544033
28	,38.623219
29	,35.713303
30	,33.361320
31	,31.983725
32	,31.879311
33	,32.532028
34	,33.959835
35	,36.304184
36	,39.235161
37	,42.231880
38	,44.367523
39	,44.942741
40	,44.399380
41	,43.252296
42	,42.150154
43	,41.512314
44	,41.010540
45	,40.547245
46	,40.020145
47	,39.286865
48	,38.527630
49	,37.241405
50	,35.122131
51	,32.577114
52	,29.775360
53	,27.085836
54	,24.501244
55	,21.834517
56	,19.605837
57	,18.193090
58	,17.464661
59	,16.931746
60	,15.808196
61	,13.946788
62	,11.992707
63	,10.358095
64	,9.074795
65	,7.817494
66	,6.074296
67	,4.152767
68	,2.554705
69	,1.436427
70	,0.687590
71	,-0.238534
72	,-1.705595
73	,-3.473838
74	,-5.446546
75	,-7.565451
