s,b
0,	1.548875
1,	1.535506
2,	1.532423
3,	1.538632
4,	1.554013
5,	1.575625
6,	1.599928
7,	1.628559
8,	1.659816
9,	1.692396
10,	1.726753
11,	1.762045
12,	1.800722
13,	1.845344
14,	1.897631
15,	1.960791
16,	2.023299
17,	2.071992
18,	2.103054
19,	2.118208
20,	2.122178
21,	2.113957
22,	2.092381
23,	2.057790
24,	2.010427
25,	1.953308
26,	1.887910
27,	1.811838
28,	1.724839
29,	1.628618
30,	1.527526
31,	1.432478
32,	1.363578
33,	1.335457
34,	1.354067
35,	1.414269
36,	1.502128
37,	1.601244
38,	1.696910
39,	1.779062
40,	1.849110
41,	1.908314
42,	1.954927
43,	1.988429
44,	2.007128
45,	2.008278
46,	1.992098
47,	1.961120
48,	1.921971
49,	1.874094
50,	1.812300
51,	1.737956
52,	1.649252
53,	1.548938
54,	1.446355
55,	1.360773
56,	1.324015
57,	1.354840
58,	1.444333
59,	1.560827
60,	1.674860
61,	1.769655
62,	1.836388
63,	1.873540
64,	1.886039
65,	1.875744
66,	1.841746
67,	1.787965
68,	1.720870
69,	1.646425
70,	1.564582
71,	1.479215
72,	1.408321
73,	1.374714
74,	1.386948
75,	1.431289
