s,a
0,	24.120712
1,	25.241375
2,	25.843163
3,	26.058067
4,	26.269587
5,	26.662695
6,	26.903868
7,	26.363203
8,	25.161987
9,	24.282045
10, 	24.548067
11,	25.825705
12,	27.357590
13,	28.979479
14,	31.062143
15,	33.931805
16,	37.141876
17,	39.824657
18,	41.686306
19,	43.184620
20,	44.648441
21,	46.003181
22,	46.623386
23,	45.979759
24,	44.640842
25,	43.889008
26,	44.259247
27,	45.415634
28,	46.819824
29,	48.462788
30,	50.428307
31,	52.718624
32,	54.997601
33,	57.445107
34,	60.205235
35,	63.744675
36,	67.825554
37,	71.834694
38,	75.145683
39,	77.723000
40,	80.191185
41,	82.758163
42,	85.073944
43,	86.790527
44,	88.280273
45,	90.254982
46,	92.754234
47,	95.149994
48,	97.013428
49,	98.411339
50,	99.667763
51,	100.747559
52,	101.241997
53,	100.950783
54,	99.940018
55,	98.486641
56,	96.649437
57,	94.144753
58,	91.002159
59,	87.891693
60,	85.460808
61,	83.816765
62,	82.599983
63,	81.326126
64,	79.979904
65,	78.791466
66,	77.764503
67,	76.571182
68,	75.086807
69,	73.546158
70,	72.212563
71,	71.108955
72,	69.857445
73,	68.428741
74,	66.988335
75,	65.758659
